"ZIPCODE","state","Total.population","TRI"
35952,"AL",0.7578,5.977508196
35954,"AL",1.1996,8.0972295689
35956,"AL",0.8826,5.5430116758
35972,"AL",0.1194,9.9851066843
35990,"AL",0.0102,4.7833333333
35542,"AL",0.1352,5.9519335398
35545,"AL",0.0094,1.3055555556
35546,"AL",0.3653,7.3928522765
35555,"AL",0.9934,5.4414913832
35559,"AL",0.0018,5.8063380282
35571,"AL",0.0809,7.420510797
35581,"AL",0.4849,6.1520853577
35582,"AL",0.4154,5.617912305
35585,"AL",0.1154,7.0964899631
35593,"AL",0.2118,6.4683918687
35653,"AL",1.226,6.5890442113
35654,"AL",0.7893,4.183580805
36313,"AL",0.0328,3.322663835
36314,"AL",0.0507,2.515997174
36316,"AL",0.1509,3.243381725
36318,"AL",0.1356,3.4550088435
36340,"AL",0.5938,2.4230377546
36344,"AL",0.5676,2.405184803
36375,"AL",0.7269,1.9708989796
36477,"AL",0.4478,2.1647654331
35443,"AL",0.1614,1.4018904864
35462,"AL",0.4924,2.9203362424
35469,"AL",0.0126,4.521919289
36740,"AL",0.171,1.066570764
35441,"AL",0.1042,2.0358988464
35474,"AL",0.6062,5.2805341524
36744,"AL",0.6792,3.021864429
36765,"AL",0.1252,1.4976175349
36776,"AL",0.1664,2.3863432543
36310,"AL",0.6679,4.7345831727
36317,"AL",0.0374,3.8763321232
36345,"AL",0.8227,2.9625977773
36353,"AL",0.1871,4.1509361912
36373,"AL",0.0633,4.1583778626
36301,"AL",3.6739,2.2650363955
36303,"AL",3.1,2.4864039745
36305,"AL",1.5107,2.494588015
36312,"AL",0.643,1.8871733235
36319,"AL",0.1935,3.0762887698
36320,"AL",0.3635,1.2770620425
36321,"AL",0.158,2.3023216689
36343,"AL",0.1349,1.0157718599
36370,"AL",0.0877,2.3330665543
36376,"AL",0.2203,2.4374604514
35740,"AL",0.3433,8.8209610373
35744,"AL",0.2836,4.8928498848
35745,"AL",0.022,17.6057875408
35746,"AL",0.0605,10.9850811461
35751,"AL",0.0368,16.5776322077
35752,"AL",0.2044,4.1884461552
35755,"AL",0.0671,3.2557222222
35764,"AL",0.0643,13.2134631204
35765,"AL",0.3467,5.9042058271
35766,"AL",0.0137,16.3667802982
35768,"AL",1.218,10.2920635666
35769,"AL",0.9642,6.2957710598
35771,"AL",0.3722,5.9747402597
35772,"AL",0.5107,11.2235934791
35774,"AL",0.0173,13.4561756192
35776,"AL",0.3672,10.7850872755
35958,"AL",0.2885,8.2108304615
35966,"AL",0.3822,6.8444421601
35979,"AL",0.1477,3.2517613386
35005,"AL",0.7923,8.5665335995
35006,"AL",0.3126,8.763165038
35020,"AL",2.6604,3.6732413288
35022,"AL",1.9998,5.7005473164
35023,"AL",2.5405,6.6414417038
35036,"AL",0.028,11.7858146067
35060,"AL",0.0297,4.9068834459
35061,"AL",0.1438,3.7776162791
35062,"AL",0.7608,5.5269346914
35064,"AL",1.14,3.6814196833
35068,"AL",0.7879,7.9676602458
35071,"AL",1.6042,8.6934436871
35073,"AL",0.2426,8.9517287929
35091,"AL",0.2871,6.3399184975
35094,"AL",1.4556,8.0721977676
35111,"AL",1.6593,5.1558596817
35116,"AL",0.4202,5.9298525413
35117,"AL",0.5548,8.1383150279
35118,"AL",0.304,9.4608843537
35119,"AL",0.0074,7.5263157895
35126,"AL",2.151,8.8912507884
35127,"AL",1.0196,6.8033674441
35139,"AL",0.0246,8.4937739464
35173,"AL",2.6092,8.6921382856
35180,"AL",1.3913,7.8308338955
35203,"AL",0.3379,1.0812064965
35204,"AL",1.0655,2.7546695402
35205,"AL",2.0206,5.287627551
35206,"AL",1.6761,6.4506668174
35207,"AL",0.8994,4.9500780901
35208,"AL",1.4042,4.0666885677
35209,"AL",2.9283,6.9648959881
35210,"AL",1.319,8.0112095462
35211,"AL",2.5601,5.5621875822
35212,"AL",1.3525,2.8945961995
35213,"AL",1.4029,8.0855021994
35214,"AL",1.8399,6.6049068269
35215,"AL",4.6911,7.2895492798
35216,"AL",3.6523,8.4795625819
35217,"AL",1.3017,6.4473330775
35218,"AL",0.7042,2.0251358696
35221,"AL",0.5031,2.9387003841
35222,"AL",0.8372,4.0345149254
35223,"AL",1.0704,9.7677265053
35224,"AL",0.6061,5.7634385042
35226,"AL",3.3288,8.4434438974
35228,"AL",1.0257,2.8274132321
35229,"AL",0.1396,7.1151315789
35233,"AL",0.1194,1.0134668508
35234,"AL",0.6433,3.1865234375
35235,"AL",1.9073,8.3063037013
35243,"AL",1.6908,7.8216521244
35244,"AL",3.3128,7.2855463853
35254,"AL",0.1176,7.1197916667
35544,"AL",0.0813,6.178777477
35552,"AL",0.0895,4.4152872538
35574,"AL",0.1169,5.7347176882
35576,"AL",0.2914,4.1808710099
35586,"AL",0.4313,4.5838786644
35592,"AL",0.4731,5.0091044221
35610,"AL",0.2084,3.3300226479
35630,"AL",3.3561,3.4876076742
35633,"AL",2.0584,2.5172520025
35634,"AL",0.9814,4.3638805027
35645,"AL",1.4812,3.7574974274
35648,"AL",0.2971,3.7882901453
35652,"AL",0.7969,3.264456846
35677,"AL",0.1545,7.4015006682
35618,"AL",0.182,2.8803128103
35643,"AL",0.2775,1.4367249022
35650,"AL",1.4535,4.8712422468
35651,"AL",0.1647,2.9060521136
35672,"AL",0.595,2.4619826993
36801,"AL",2.4092,3.2777553198
36804,"AL",1.6707,3.2529947191
36830,"AL",3.5042,3.6547160788
36832,"AL",2.4179,3.8522555278
36849,"AL",0.3308,2.7034883721
36852,"AL",0.222,3.0630671204
36865,"AL",0.0026,1.8645833333
36870,"AL",1.9979,3.5342204405
36874,"AL",0.8734,3.8574230099
36877,"AL",1.0957,4.4600364964
36879,"AL",0.2413,3.9623362445
35611,"AL",2.5442,1.9020143771
35613,"AL",2.2953,1.7876293231
35614,"AL",0.8658,3.5138202325
35615,"AL",0.0077,0.9727272727
35620,"AL",0.835,4.8356789792
35647,"AL",0.1055,6.1124135281
35649,"AL",0.0105,0.6526610644
35671,"AL",0.2042,0.8105603582
35739,"AL",0.6036,1.7052573654
35756,"AL",1.0545,1.3103740544
36032,"AL",0.2403,3.7827687932
36040,"AL",0.3535,2.3294832229
36047,"AL",0.1253,2.6231104713
36752,"AL",0.1727,1.8696072925
36785,"AL",0.1767,3.2561303883
36031,"AL",0.0087,1.040772042
36039,"AL",0.0193,1.4426967678
36075,"AL",0.2223,1.9902033037
36083,"AL",0.8933,2.8475555494
36088,"AL",0.4614,3.3316761364
36866,"AL",0.3636,3.4726013938
35741,"AL",0.3032,13.6059466019
35748,"AL",0.6192,9.5887588513
35749,"AL",1.9989,2.4410451533
35750,"AL",1.2007,1.6322790264
35757,"AL",1.4252,2.2999336115
35758,"AL",4.3926,3.0265145087
35759,"AL",0.7033,1.6668552036
35760,"AL",0.4975,4.6196654884
35761,"AL",1.1443,8.2310530534
35763,"AL",1.5235,5.179571753
35773,"AL",1.2582,1.9576960446
35801,"AL",2.2111,7.8297301691
35802,"AL",2.1212,6.4544958798
35803,"AL",2.6543,8.5125962698
35805,"AL",2.2449,1.3577225775
35806,"AL",2.0143,2.26116595
35808,"AL",0.157,2.2986715701
35810,"AL",3.1133,5.1615868216
35811,"AL",2.801,3.6190231237
35816,"AL",1.4122,2.4291484716
35824,"AL",0.6132,1.2279985806
35896,"AL",0.0608,2.3310185185
36732,"AL",0.8192,1.7458115655
36736,"AL",0.1512,3.1868473896
36738,"AL",0.1085,1.7522312704
36742,"AL",0.1729,1.9770623067
36748,"AL",0.306,2.7213586357
36754,"AL",0.0303,3.9302014803
36763,"AL",0.0235,1.6231609325
36782,"AL",0.2908,3.4058685746
36783,"AL",0.0774,2.3490814568
35543,"AL",0.2047,6.7572363569
35548,"AL",0.1706,6.3850255518
35563,"AL",0.452,6.5956282023
35564,"AL",0.2215,6.4031664842
35570,"AL",1.153,6.1867541132
35594,"AL",0.74,5.290750696
35016,"AL",1.6135,3.7822265023
35175,"AL",0.5814,7.8928470903
35747,"AL",0.5575,11.0615512474
35950,"AL",2.1779,2.6007935277
35951,"AL",1.2549,5.6807817082
35957,"AL",1.6048,2.9996097589
35976,"AL",1.7025,6.9504997603
35980,"AL",0.5451,4.1511777391
36505,"AL",0.1613,0.6786503261
36509,"AL",0.2359,0.2643163923
36512,"AL",0.0022,1.0139693709
36521,"AL",0.5574,3.7281425272
36522,"AL",0.637,3.2069543563
36523,"AL",0.1985,0.2721225857
36525,"AL",0.1898,0.4586052202
36528,"AL",0.1291,0.3802724077
36541,"AL",1.4142,1.1564125878
36544,"AL",1.1111,1.3395571514
36560,"AL",0.3479,2.5863356911
36568,"AL",0.0134,1.7272099448
36571,"AL",1.4834,2.1154015773
36572,"AL",0.6434,0.5474707677
36575,"AL",1.9494,2.4157896172
36582,"AL",2.5603,0.9034863443
36587,"AL",1.1077,2.7539933666
36602,"AL",0.0762,0.2222938144
36603,"AL",1.1623,0.4450288779
36604,"AL",1.0106,0.4752272727
36605,"AL",2.786,0.539161928
36606,"AL",2.0097,0.5675329429
36607,"AL",0.702,0.5694024206
36608,"AL",3.7232,2.2618934619
36609,"AL",2.4111,2.4893052704
36610,"AL",1.1439,0.68
36611,"AL",0.6026,0.9132676444
36612,"AL",0.4948,0.7012350937
36613,"AL",1.3323,3.126394052
36615,"AL",0.0046,0.5167710197
36617,"AL",1.3649,0.537886341
36618,"AL",1.712,3.0380225319
36619,"AL",1.5735,2.1728082192
36688,"AL",0.0407,3.3546747967
36693,"AL",1.8799,2.2088828184
36695,"AL",4.6636,2.3752005013
36425,"AL",0.1119,3.3522012084
36439,"AL",0.0734,1.0060876623
36444,"AL",0.0712,4.6032570267
36445,"AL",0.454,4.0375415845
36460,"AL",1.1223,4.2613144887
36470,"AL",0.0101,3.8995386981
36471,"AL",0.1037,5.3752931043
36480,"AL",0.1699,2.9541050189
36481,"AL",0.0291,4.1521057708
36013,"AL",0.0475,0.9450931425
36036,"AL",0.2047,3.0591340062
36043,"AL",0.3348,1.7131475454
36046,"AL",0.1809,3.7994040258
36052,"AL",0.0692,2.0974206943
36064,"AL",0.8141,1.4207452325
36069,"AL",0.1684,2.9617910283
36104,"AL",0.8287,1.6030782157
36105,"AL",1.1098,1.6406190807
36106,"AL",1.4467,1.6077283372
36107,"AL",0.8406,2.7487207602
36108,"AL",2.078,1.2304303544
36109,"AL",2.3851,2.0176099349
36110,"AL",1.2923,0.9479946124
36111,"AL",1.2865,1.3817934783
36112,"AL",0.0364,0.2549342105
36113,"AL",0.1685,0.8734756098
36115,"AL",0.0712,1.0326923077
36116,"AL",4.5075,1.2571979167
36117,"AL",5.2187,1.0693192448
35601,"AL",3.3982,1.0942258883
35603,"AL",3.0577,3.1329341407
35619,"AL",0.4799,4.6307817733
35621,"AL",0.2908,8.1853033944
35622,"AL",0.734,6.1857497152
35640,"AL",2.5681,2.7049080136
35670,"AL",0.6842,5.94768087
35673,"AL",0.7855,3.1066513761
35754,"AL",0.5181,7.6223670625
35775,"AL",0.0531,3.4810508736
36756,"AL",0.5839,5.0492155529
36786,"AL",0.3689,1.7608769776
35442,"AL",0.542,1.7061466781
35447,"AL",0.3253,3.3227501806
35461,"AL",0.1987,3.613325591
35466,"AL",0.5174,4.5651568239
35481,"AL",0.3901,4.2825340456
36005,"AL",0.1844,3.7436623381
36010,"AL",0.4831,3.5477183467
36035,"AL",0.1784,3.6119901166
36079,"AL",0.9471,4.0487547802
36081,"AL",1.6356,4.0719861703
36082,"AL",0.1295,5.2592592593
36263,"AL",0.0811,4.9849133873
36274,"AL",1.143,4.6675337726
36276,"AL",0.238,5.5067946469
36278,"AL",0.3921,7.082964025
36280,"AL",0.3683,5.2538471693
36856,"AL",0.5657,2.8019857363
36858,"AL",0.034,3.357510998
36859,"AL",0.0041,3.5205724508
36860,"AL",0.1573,2.2642113969
36867,"AL",2.2428,4.8782566024
36869,"AL",2.0413,3.8506866417
36871,"AL",0.1243,3.4578127988
36875,"AL",0.4385,3.5740931299
35004,"AL",0.9759,5.1159826663
35052,"AL",0.0189,7.4146341463
35054,"AL",0.3942,4.1949587677
35112,"AL",0.0443,8.3563780261
35120,"AL",1.4942,7.4785980573
35125,"AL",1.0998,5.7439804456
35128,"AL",0.9523,5.7413624401
35131,"AL",0.3822,7.3459833691
35135,"AL",0.161,4.1503294893
35146,"AL",1.218,7.8738250569
35953,"AL",0.7044,6.3560926841
35987,"AL",0.2725,6.5125955525
35007,"AL",2.7001,5.1127640629
35040,"AL",1.6064,4.0981281649
35043,"AL",1.0004,6.7433583275
35051,"AL",0.8996,4.7429367164
35078,"AL",0.2223,2.494013508
35080,"AL",1.6238,6.0269792648
35114,"AL",0.692,5.3798507463
35115,"AL",1.4581,5.3295188557
35124,"AL",2.3135,9.2203744493
35143,"AL",0.3236,4.1652103876
35147,"AL",0.5938,9.2058368637
35176,"AL",0.0847,9.1189995752
35178,"AL",0.4204,4.2194255834
35186,"AL",0.4662,3.3240898975
35187,"AL",0.0028,3.6458333333
35242,"AL",5.1331,8.3143359277
35459,"AL",0.0906,1.6576249194
35460,"AL",0.0281,2.1752250652
35464,"AL",0.06,1.34270293
